"Año","Municipios","Subregión","Area en Pasto de Corte (Hectarea)","Area en Pasto Natural (Hectarea)","Area en Pasto Mejorado (Hectarea)","Area en Pasto Cultivo Forrajero (Hectarea)","Área en Pasto Sistema Silvopastoril (Hectárea)","Total (Hectareas)"
"2,010","Sincelejo","Sabanas","331.00","23,000.00","646.00","null","null","23,977.00"
"2,010","Buenavista","Sabanas","140.00","9,437.00","230.00","null","null","9,807.00"
"2,010","Caimito","San Jorge","null","604.00","37,568.00","null","null","38,172.00"
"2,010","Chalán","Montes de María","7.00","2,943.00","null","null","null","2,950.00"
"2,010","Colosó","Montes de María","90.00","4,200.00","null","null","18.00","4,308.00"
"2,010","Corozal","Sabanas","54.00","14,975.00","20.00","20.00","null","15,069.00"
"2,010","Coveñas","Morrosquillo","2.50","1,300.00","500.00","3.00","null","1,805.50"
"2,010","El Roble","Sabanas","22.00","15,546.00","null","null","null","15,568.00"
"2,010","Galeras","Sabanas","74.00","29,973.00","null","null","null","30,047.00"
"2,010","Guaranda","Mojana","null","14,900.00","6,000.00","null","null","20,900.00"
"2,010","La Unión","San Jorge","27.00","20,050.00","1,328.00","null","null","21,405.00"
"2,010","Los Palmitos","Sabanas","40.00","19,500.00","null","15.00","null","19,555.00"
"2,010","Majagual","Mojana","null","45,000.00","25,000.00","null","null","70,000.00"
"2,010","Morroa","Montes de María","130.00","14,500.00","550.00","null","null","15,180.00"
"2,010","Ovejas","Montes de María","30.00","15,800.00","null","null","null","15,830.00"
"2,010","Sampués","Sabanas","250.00","15,150.00","160.00","40.00","200.00","15,800.00"
"2,010","San Antonio de Palmito","Morrosquillo","80.00","8,624.00","7,600.00","null","19.00","16,323.00"
"2,010","San Benito Abad","San Jorge","40.00","25,000.00","22,000.00","null","null","47,040.00"
"2,010","San Juan de Betulia","Sabanas","35.00","20,765.00","50.00","null","null","20,850.00"
"2,010","San Marcos","San Jorge","485.00","33,485.00","38,275.00","30.00","null","72,275.00"
"2,010","San Onofre","Morrosquillo","988.00","74,899.00","2,903.00","null","1,838.00","80,628.00"
"2,010","San Pedro","Sabanas","380.00","19,065.00","80.00","null","15.00","19,540.00"
"2,010","San Luis de Sincé","Sabanas","205.00","35,500.00","55.00","140.00","2.00","35,902.00"
"2,010","Sucre","Mojana","null","null","null","null","null","null"
"2,010","Santiago de Tolú","Golfo de Morrosquillo","100.00","18,420.00","6,620.00","null","null","25,140.00"
"2,010","Toluviejo","Golfo de Morrosquillo","228.00","20,343.00","3,000.00","120.00","null","23,691.00"
"2,011","Sincelejo","Sabanas","366.00","22,000.00","579.00","null","null","22,945.00"
"2,011","Buenavista","Sabanas","160.00","9,027.00","250.00","null","null","9,437.00"
"2,011","Caimito","San Jorge","null","604.00","37,568.00","null","null","38,172.00"
"2,011","Chalán","Montes de María","8.00","2,913.00","null","null","null","2,921.00"
"2,011","Colosó","Montes de María","110.00","4,500.00","10.00","null","30.00","4,650.00"
"2,011","Corozal","Sabanas","120.00","14,917.00","20.00","12.00","null","15,069.00"
"2,011","Coveñas","Morrosquillo","3.00","1,300.00","500.00","3.00","null","1,806.00"
